1. (Германия, заключила, Брест-Литовский договор)
(Германия, воевала с, Россия)  
(Германия, воевала с, Сербия)  
(Германия, воевала с, Бельгия)  
(Германия, воевала с, Австро-Венгрия)  
(Германия, разорвала дипломатические отношения, Россия)  
(Германия, разорвала дипломатические отношения, Франция)  
(Германия, разорвала дипломатические отношения, Великобритания)  
(Германия, разорвала дипломатические отношения, Бельгия)

(Великобритания, вступила в войну, 1914-08-04)

(Эдуард Грей, представляет, Великобритания)  
(Великобритания, воевала с, Германия)  
(Франция, воевала с, Германия)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Австро-Венгрия, воевала с, Россия)  
(Италия, воевала с, Германия)  
(Италия, воевала с, Австро-Венгрия)  
(Россия, вступила в войну, 1914)  
(Великобритания, вступила в войну, 1914)  
(Франция, вступила в войну, 1914)  
(Германия, вступила в войну, 1914)  
(Австро-Венгрия, вступила в войну, 1914)  
(Италия, вступила в войну, 1915)  
(Луи Фердинанд Селин, разработал, концепция вакцинированного апокалипсиса)

(Германия, вступила в войну, 1914)
(Франция, вступила в войну, 1914)
(Германия, воевала с, Франция)
(Германия, воевала с, Бельгия)
(Германия, воевала с, Великобритания)
(Германия, разработал, план Шлиффена)
(Александр Нахичеванский, представляет, Россия)

(Жозеф Жоффр, разработал, план XVII)  
(Жозеф Жоффр, командует, Франция)  
(Александр фон Клук, командует, Германия)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Великобритания)  
(Германия, оккупировала, Бельгия)  
(Бельгия, разорвала дипломатические отношения, Германия)  
(Бельгия, воевала с, Германия)  
(Франция, воевала с, Германия)  
(Великобритания, воевала с, Германия)

(Гельмут фон Мольтке, командовал, Германия)
(Карл фон Бюлов, командовал, 2-я армия)
(Фердинанд Фош, командовал, 9-я армия)
(Жозеф Жоффр, командовал, Франция)
(Германия, воевала с, Франция)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Россия)
(Россия, воевала с, Германия)
(Великобритания, воевала с, Германия)
(Германия, оккупировала, Восточная Пруссия)
(Россия, оккупировала, Восточная Пруссия)
(Германия, воевала с, Британские экспедиционные силы)
(Германия, воевала с, Французская армия)
(Германия, воевала с, Британская армия)
(Германия, воевала с, Русская армия)

(Александр Самсонов, командует, Россия)  
(Максимилиан фон Притвиц, командовал, 8-я армия)  
(Пауль фон Гинденбург, командует, Германия)  
(Эрих Людендорф, командует, Германия)  
(Франц Конрад фон Гетцендорф, командует, Австро-Венгрия)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Германия, воевала с, Россия)  
(Австро-Венгрия, воевала с, Россия)

(Австро-Венгрия, воевала с, Сербия)  
(Австро-Венгрия, воевала с, Россия)  
(Германия, воевала с, Россия)  
(Конрад, командовал, Австро-Венгрия)  
(Потиорек, командовал, Австро-Венгрия)  
(Австро-Венгрия, вступила в войну, 1914)

(Эрих фон Фалькенгайн, командует, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, Бельгия)  
(Великобритания, воевала с, Германия)  
(Бельгия, воевала с, Германия)  
(Россия, воевала с, Германия)  
(Львов, место подписания, Лембергская битва)

(Эрих Людендорф, противостоял, Николай Конрад)
(Эрих Людендорф, командует, Германия)
(Энвер-паша, командует, Османская империя)
(Энвер-паша, противостоял, Николай II)
(Энвер-паша, вторгся в, Россия)
(Энвер-паша, противостоял, Кемаль Ататюрк)
(Россия, воевала с, Османская империя)
(Германия, воевала с, Россия)
(Османская империя, воевала с, Россия)
(Эрих Людендорф, командовал, германская армия)
(Энвер-паша, командовал, Османская армия)
(Эрих Людендорф, противостоял, русская армия)
(Энвер-паша, противостоял, русская армия)
(Энвер-паша, противостоял, Николай II)
(Энвер-паша, противостоял, Кемаль Ататюрк)

(Уинстон Черчилль, представляет, Великобритания)  
(Великобритания, воевала с, Германия)  
(Великобритания, оккупировала, Германия)  
(Германия, воевала с, Великобритания)  
(Германия, оккупировала, Великобритания)  
(Великобритания, вступила в войну, 1914-08-04)

(Британия, выдавала кредиты, Италия)
(Британия, выдавала кредиты, Россия)
(Британия, вступила в войну, 1914)
(Османская империя, воевала с, Россия)
(Британия, предложила, Константинополь)
(Британия, воевала с, Османская империя)
(Германия, воевала с, Британия)
(Германия, воевала с, Франция)
(Германия, воевала с, Россия)
(Британия, воевала с, Германия)
(Британия, воевала с, Османская империя)
(Османская империя, воевала с, Британия)
(Британия, предложила, Константинополь)
(Британия, выдавала кредиты, Италия)
(Британия, выдавала кредиты, Россия)

(Руперт Брук, умер в, Египет)  
(Ян Гамильтон, командует, Великобритания)  
(Кемаль Ататюрк, командует, Турция)  
(Эрих фон Фалькенгайн, командует, Германия)  
(Эрих фон Фалькенгайн, противостоял, Гельмут фон Мольтке)

(Эрих фон Фалькенгайн, противостоял, Франц Конрад фон Хётцендорф)
(Эрих фон Фалькенгайн, командует, Германия)
(Эрих фон Фалькенгайн, противостоял, Россия)
(Эрих фон Фалькенгайн, противостоял, Великобритания)
(Эрих фон Фалькенгайн, противостоял, Франция)
(Эрих фон Фалькенгайн, противостоял, Британские экспедиционные силы)
(Эрих фон Фалькенгайн, противостоял, Канада)
(Эрих фон Фалькенгайн, противостоял, Бельгия)
(Эрих фон Фалькенгайн, противостоял, Италия)
(Эрих фон Фалькенгайн, противостоял, Роберт Грейвс)
(Германия, воевала с, Россия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Германия, воевала с, Канада)
(Германия, воевала с, Бельгия)

(Дуглас Хейг, командовал, британской армией)
(Джон Френч, противостоял, Дуглас Хейг)
(Германия, воевала с, Россия)
(Австро-Венгрия, воевала с, Россия)
(Гинденбург, командует, Oberost)
(Фалькенгайн, противостоял, Людендорф)
(Георг фон дер Марвиц, командовал, Beskidenkorps)
(Россия, оккупировала, Перемышль)
(Австро-Венгрия, оккупировала, Перемышль)
(Франция, воевала с, Германия)

(Италия, подписала, Лондонский договор)  
(Италия, вступила в войну, 1915-05-23)  
(Эрих фон Фалькенгайн, разработал, план наступления в Карпатах)  
(Август фон Макензен, командует, 11-я армия)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Италия, воевала с, Австро-Венгрия)  
(Николай Иванов, командует, Юго-Западный фронт)  
(Россия, вступила в войну, 1914)

(Эрих фон Фалькенгайн, встретился, Ханс фон Зект)  
(Германия, оккупировала, Польша)  
(Германия, оккупировала, Львов)  
(Германия, оккупировала, Варшава)  
(Германия, оккупировала, Ковно)  
(Германия, оккупировала, Новогеоргиевск)  
(Германия, воевала с, Россия)  
(Австро-Венгрия, воевала с, Россия)  
(Михаил Алексеев, командует, русский Юго-Западный фронт)  
(Ханс фон Безелер, командовал, осадный поезд)

(Германия, оккупировала, Сербия)  
(Болгария, оккупировала, Сербия)  
(Эрих фон Фалькенгайн, противостоял, Эрих Людендорф)

